Bedrooms,Bathrooms,Location,Price
2,2,Lavington,6900000
2,2,"Westlands Area, Westlands",9000000
1,1,"Westlands Area, Westlands",6500000
2,2,Lavington,7000000
2,2,Lavington,7500000
2,2,"Westlands Area, Westlands",10000000
2,4,"Westlands, Riverside",25000000
3,5,"Riverside, Westlands",32000000
2,2,"Valley Arcade, Lavington",8600000
1,1,"Westlands, Westlands Area",5800000
3,3,"Westlands Area, Westlands",12000000
2,2,"Westlands Area, Westlands",10000000
1,1,"Westlands Area, Westlands",6500000
3,3,Lavington,11000000
2,2,Lavington,7500000
1,1,Lavington,5000000
4,4,Kileleshwa,20000000
3,3,Kilimani,13000000
2,2,Kilimani,7000000
1,1,Kilimani,5000000
3,3,Kileleshwa,24000000
1,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",6500000
2,2,"WESTLANDS, GTC, Westlands Area, Westlands",12000000
2,2,"KILIMANI, Kilimani",7000000
2,3,"KILIMANI, Kilimani",14000000
2,2,"KILIMANI, Kilimani",14800000
2,1,Ngong Road,6600000
3,4,"Riara Road, Kilimani",16500000
2,2,"Kileleshwa Nairobi, Kileleshwa",10500000
2,2,"Westlands, Westlands Area",11500000
3,3,"Westlands, Westlands Area",13500000
1,1,"Kirawa Rd, Kitisuru, Westlands",4600000
2,,Kilimani,12000000
2,2,Kilimani,7500000
3,4,"Spring Valley, Spring Valley, Westlands",24000000
4,6,"Westlands, Spring Valley",31000000
2,2,Kilimani,9500000
3,5,Kileleshwa,20000000
3,3,"Yaya Centre, Kilimani",13000000
2,3,"Yaya Centre, Kilimani",11500000
4,6,Kilimani,26300000
2,3,Kileleshwa,9800000
5,7,Kilimani,33500000
0,1,"NGONG ROAD, Kilimani",1900000
0,1,"NGONG ROAD, Ngong Road",1900000
0,1,"NGONG ROAD, NGONG ROAD, Dagoretti Corner",1900000
1,1,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",5500000
1,1,"WESTLANDS, GTC, Westlands Area, Westlands",7600000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",11900000
2,2,"WESTLANDS, CHURCH ROAD, Westlands Area, Westlands",8000000
3,4,"LAVINGTON, Lavington",11500000
1,1,"LAVINGTON, Lavington",4100000
2,2,"Westlands Area, Westlands",12400000
3,4,"Westlands Area, Westlands",18600000
3,3,"Elgeyo Marakwet Road, Kilimani",28000000
