Bedrooms,Bathrooms,Location,Price
2,2.0,Westlands,12500000
3,3.0,Westlands,18000000
1,1.0,Lavington,5970000
2,2.0,Westlands,11800000
1,1.0,Westlands,9120000
2,2.0,Westlands,12600000
2,2.0,Westlands,9500000
5,5.0,Parklands,40000000
2,2.0,Westlands,18600000
1,1.0,Kilimani,6800000
3,3.0,Westlands,17800000
3,3.0,Kilimani,14000000
4,3.0,Kilimani,19000000
4,3.0,Kiambu,16500000
3,3.0,Kileleshwa,20000000
3,3.0,Westlands,2800000
3,4.0,Westlands,26000000
1,2.0,Westlands,9120000
2,3.0,Westlands,15200000
3,3.0,Thika,22000000
2,2.0,Thika,8000000
1,1.0,Thika,5500000
0,1.0,Thika,3400000
1,1.0,Westlands,8400000
3,3.0,Kilimani,26500000
1,1.0,Kilimani,7000000
2,3.0,Westlands,12500000
1,2.0,Westlands,7900000
2,3.0,Westlands,12100000
1,2.0,Westlands,7300000
4,5.0,Kileleshwa,23500000
3,4.0,Kileleshwa,20000000
0,1.0,Westlands,8066850
1,2.0,Kileleshwa,18730000
1,2.0,Kileleshwa,9500000
2,2.0,Kileleshwa,12500000
1,2.0,Westlands,7600000
2,2.0,Dagoretti,5360000
1,1.0,Dagoretti,3100000
2,2.0,Kileleshwa,8800000
2,2.0,Kileleshwa,9800000
0,1.0,Dagoretti,1900000
2,3.0,Kilimani,10500000
2,3.0,Kitisuru,9500000
3,3.0,Kiambu,5500000
2,2.0,Westlands,14880000
3,3.0,Lower Kabete,23700000
4,4.0,Lower Kabete,35500000
1,1.0,Westlands,8700000
2,2.0,Westlands,14600000
2,3.0,Kileleshwa,10100000
2,2.0,Kileleshwa,9000000
1,2.0,Riverside,9500000
1,2.0,Mombasa Road,11600000
2,2.0,Riverside,12600000
3,4.0,Riverside,25000000
4,5.0,Riverside,35000000
3,3.0,Lower Kabete,23200000
2,2.0,Kilimani,11100000
1,2.0,Westlands,6750000
2,4.0,Kilimani,13900000
4,4.0,Lower Kabete,35500000
3,3.0,Lower Kabete,23200000
4,4.0,Lower Kabete,29500000
4,4.0,Lower Kabete,29500000
3,4.0,Westlands,15000000
2,2.0,Westlands,11300000
3,5.0,Westlands,21250000
2,3.0,Westlands,14650000
1,2.0,Kileleshwa,8500000
2,2.0,Kilimani,12500000
2,2.0,Westlands,5500000
3,4.0,Kileleshwa,14500000
2,3.0,Westlands,13050000
3,4.0,Kileleshwa,16500000
2,2.0,Kileleshwa,9000000
3,3.0,Kileleshwa,28000000
3,3.0,Westlands,31500000
4,4.0,Kileleshwa,22000000
3,4.0,Riverside,55000000
2,2.0,Westlands,22000000
1,1.0,Spring Valley,0
1,1.0,Westlands,7200000
1,2.0,Westlands,8300000
3,4.0,Westlands,42000000
1,2.0,Kilimani,7000000
1,2.0,Riverside,17300000
3,3.0,Westlands,17700000
2,2.0,Westlands,16500000
3,2.0,Riverside,20500000
4,4.0,Lavington,37000000
3,4.0,Kileleshwa,24500000
3,3.0,Kilimani,16500000
3,3.0,Mombasa Road,11500000
2,2.0,Mombasa Road,8700000
2,1.0,Mombasa Road,6500000
1,2.0,Mombasa Road,5200000
0,1.0,Mombasa Road,4450000
3,2.0,Kitisuru,15000000
2,2.0,Mombasa Road,7000000
2,1.0,Mombasa Road,4500000
3,2.0,Ngong Road,14000000
3,4.0,Lavington,13600000
3,3.0,Kiambu,12800000
2,3.0,Kilimani,9000000
1,1.0,Dagoretti,4000000
1,1.0,Westlands,6500000
1,1.0,Westlands,7800000
2,2.0,Westlands,12200000
2,2.0,Riverside,13500000
1,1.0,Westlands,7700000
3,3.0,Kilimani,12000000
2,2.0,Kileleshwa,13500000
3,3.0,Parklands,23000000
1,1.0,Mombasa Road,11700000
2,2.0,Westlands,16500000
2,2.0,Kilimani,9300000
3,3.0,Lavington,14500000
3,3.0,Kileleshwa,15500000
3,3.0,Westlands,22000000
4,5.0,Lavington,32000000
3,4.0,Kileleshwa,18000000
2,2.0,Westlands,17199000
